Image1,Image2,Similarity
subject01_centerlight.gif,subject10_sad.gif,0.24840376875498885
subject01_centerlight.gif,subject10_sleepy.gif,0.25152658661342375
subject01_centerlight.gif,subject10_surprised.gif,0.231717961301006
subject01_centerlight.gif,subject10_wink.gif,0.24214545640281246
subject01_centerlight.gif,subject11_centerlight.gif,0.24603178603863443
subject01_centerlight.gif,subject11_glasses.gif,0.2463378883618678
subject01_centerlight.gif,subject11_happy.gif,0.24226304858062767
subject01_centerlight.gif,subject11_leftlight.gif,0.23644816912520594
subject01_centerlight.gif,subject11_noglasses.gif,0.2418821992414581
subject01_centerlight.gif,subject11_normal.gif,0.25282596103621446
subject01_centerlight.gif,subject11_rightlight.gif,0.23696580098359282
subject01_centerlight.gif,subject11_sad.gif,0.23898958557571262
subject01_centerlight.gif,subject11_sleepy.gif,0.23442734557736916
subject01_centerlight.gif,subject11_surprised.gif,0.23462498776523955
subject01_centerlight.gif,subject11_wink.gif,0.2320528501285622
subject01_centerlight.gif,subject12_centerlight.gif,0.25145154329436625
subject01_centerlight.gif,subject12_glasses.gif,0.24018545723381376
subject01_centerlight.gif,subject12_happy.gif,0.23003594448187764
subject01_centerlight.gif,subject12_leftlight.gif,0.2516643436927532
subject01_centerlight.gif,subject12_noglasses.gif,0.2345215141220966
subject01_centerlight.gif,subject12_normal.gif,0.2345215141220966
subject01_centerlight.gif,subject12_rightlight.gif,0.2458268169511129
subject01_centerlight.gif,subject12_sad.gif,0.23816566768181247
subject01_centerlight.gif,subject12_sleepy.gif,0.23885006826987518
subject01_centerlight.gif,subject12_surprised.gif,0.2288270752323397
subject01_centerlight.gif,subject12_wink.gif,0.23469187170132888
subject01_centerlight.gif,subject13_centerlight.gif,0.24994763949765914
subject01_centerlight.gif,subject13_glasses.gif,0.23980325982024667
subject01_centerlight.gif,subject13_happy.gif,0.2298274896158848
subject01_centerlight.gif,subject13_leftlight.gif,0.25134982170951
subject01_centerlight.gif,subject13_noglasses.gif,0.24961337055572425
subject01_centerlight.gif,subject13_normal.gif,0.24598883101793678
subject01_centerlight.gif,subject13_rightlight.gif,0.23974919426627
subject01_centerlight.gif,subject13_sad.gif,0.24412823678972667
subject01_centerlight.gif,subject13_sleepy.gif,0.23795592074240185
subject01_centerlight.gif,subject13_surprised.gif,0.24777545132822862
subject01_centerlight.gif,subject13_wink.gif,0.24613729729636077
subject01_centerlight.gif,subject14_centerlight.gif,0.25386337480929183
subject01_centerlight.gif,subject14_glasses.gif,0.22727858939205398
subject01_centerlight.gif,subject14_happy.gif,0.24116541788595094
subject01_centerlight.gif,subject14_leftlight.gif,0.24276788008517128
subject01_centerlight.gif,subject14_noglasses.gif,0.23537208056687123
subject01_centerlight.gif,subject14_normal.gif,0.23537208056687123
subject01_centerlight.gif,subject14_rightlight.gif,0.2365611806218925
subject01_centerlight.gif,subject14_sad.gif,0.2386120177051406
subject01_centerlight.gif,subject14_sleepy.gif,0.24438928755585382
subject01_centerlight.gif,subject14_surprised.gif,0.24368531069692456
subject01_centerlight.gif,subject14_wink.gif,0.24221632704247245
subject01_centerlight.gif,subject15_centerlight.gif,0.24572583975893844
subject01_centerlight.gif,subject15_glasses.gif,0.2291837605974609
subject01_centerlight.gif,subject15_happy.gif,0.23368704723145406
subject01_centerlight.gif,subject15_leftlight.gif,0.23179365107840294
subject01_centerlight.gif,subject15_noglasses.gif,0.2363303758476081
subject01_centerlight.gif,subject15_normal.gif,0.235078132439083
subject01_centerlight.gif,subject15_rightlight.gif,0.24562095739451054
subject01_centerlight.gif,subject15_sad.gif,0.23933644387640118
subject01_centerlight.gif,subject15_sleepy.gif,0.23621401011161403
